run_id,timestamp,article_count,sections,subject_a,subject_b
0cb85cb9,2025-11-17T06:54:35.358148,9,Technology:4;General:5,Top stories: Technology / General,Today in Technology / General — quick read
df5b3765,2025-11-17T07:05:33.352277,9,Technology:4;General:5,Top stories: Technology / General,Today in Technology / General — quick read
06370f78,2025-11-17T16:32:08.077420,10,Technology:5;General:5,Top stories: Technology / General,Today in Technology / General — quick read
a0839c3e,2025-11-17T17:01:06.769840,13,Tech:5;Security:2;Gadgets:1;General:5,Top stories: Tech / Security,Today in Tech / Security — quick read
7362eae3,2025-11-17T17:36:23.225292,13,Tech:5;Gadgets:1;Security:2;General:5,Top stories: Tech / Gadgets,Today in Tech / Gadgets — quick read
4bc27b6b,2025-11-17T17:46:06.495886,13,Tech:5;Gadgets:1;Security:2;General:5,Top stories: Tech / Gadgets,Today in Tech / Gadgets — quick read
2fa36795,2025-11-17T17:53:31.133445,13,Tech:5;Gadgets:1;Security:2;General:5,Top stories: Tech / Gadgets,Today in Tech / Gadgets — quick read
30469869,2025-11-17T18:03:28.023906,13,Tech:5;Security:2;Gadgets:1;General:5,Top stories: Tech / Security,Today in Tech / Security — quick read
71c5136c,2025-11-17T18:06:38.572056,13,Tech:5;Security:2;General:5;Gadgets:1,Top stories: Tech / Security,Today in Tech / Security — quick read
3b8fa189,2025-11-17T18:13:52.672870,13,Tech:5;Security:2;Gadgets:1;General:5,Top stories: Tech / Security,Today in Tech / Security — quick read
